replay_buffer/Size,replay_buffer/MeanObs,replay_buffer/StdObs,replay_buffer/MeanGoal,replay_buffer/StdGoal,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/QF1 Grad Norm,trainer/QF2 Grad Norm,trainer/Policy Grad Norm,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/SuccessRate,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/SuccessRate,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/batch sampling (s),time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.026378362,0.98163813,0.071999095,1.0262007,19.21517,19.193233,-3.9605176,10.590076,10.568997,2.0948892,-0.004486287,0.0013396534,0.00028225593,-0.009608652,0.002094816,0.0016587827,0.007838987,-0.004722991,1.6816976,4.0462284,19.492826,-2.8838923,-3.965019,0.5457784,-2.3015904,-5.270262,0.0019699112,0.0022674855,0.0062456876,-0.0054283696,0.00073465286,0.0012825206,0.003489288,-0.0024319433,0.9997000694274902,-0.0,2000,26,76.92307692307692,10.65877420042386,80,40,[0.],-3.171848707896472,1.949616343574525,-0.597837632894516,-6.096405029296875,-243.9883621458823,62.012936705395404,-122.60483151674265,-373.2077597856524,-0.010065499,0.6292808,0.99937415,-0.99865884,13,-243.9883621458823,960,12,80.0,0.0,80,80,[0.],-0.1078691428061575,0.000657166600715274,-0.10694599933922291,-0.10897135213017464,-8.629531424492585,0.05257332805722192,-8.55567994713782,-8.717708170413959,0.002386017,0.0021678258,0.0063599525,-0.0029135607,12,-8.629531424492585,4.97273775562644,0.042066008783876896,2.082133979536593,3.0099940970540047,0.04079157765954733,0.022359552793204784,230.30541073251516,240.47549370396882,246.8947495482862,0
3000,0.015994536,0.96143335,0.03621955,1.0103052,7.1481323,7.243328,-7.0981073,27.363312,39.981316,0.90245414,2.992805,2.5140486,7.107344,-5.4908285,3.2784896,2.4681358,7.2407265,-4.7971616,2.7132642,3.226376,18.740458,-5.372444,-3.8664248,0.81433296,-1.7103198,-8.665609,0.01731958,0.24734135,0.7770242,-0.8435471,-0.20803471,0.053243402,-0.11011416,-0.46038368,0.7416896820068359,-2.9454269409179688,3000,39,76.92307692307692,10.65877420042386,80,40,[0.],-3.5605210103988654,1.9963302582725135,-0.6844655632972717,-6.085458278656006,-273.88623156914343,91.75916797719219,-142.61455109119407,-397.7742498159409,-0.008655173,0.57807463,0.9969263,-0.9950669,13,-273.88623156914343,1920,24,80.0,0.0,80,80,[0.],-3.522418049705836,1.7459644300709667,-0.18139035850763321,-4.7815070152282715,-281.79344397646685,118.0314020036582,-22.942026175558603,-370.19763751029967,0.004599764,0.19068404,0.61979043,-0.6962961,12,-281.79344397646685,5.094543292187154,0.03913116920739412,2.188033599406481,2.828971941024065,0.05536183714866638,0.035900422371923923,240.3628453835845,250.60478764493018,497.50721612293273,1
4000,0.0043143104,0.9509765,0.011217142,0.9752909,9.129149,9.359733,-6.5815167,74.45723,70.58942,1.467497,2.856179,4.9386935,11.076245,-16.241325,2.867094,5.104837,10.805684,-17.2018,2.5950747,5.91919,18.73751,-17.629232,-3.514308,1.0298575,-0.41787267,-8.380563,-0.028180517,0.3268691,1.0232822,-1.032297,-0.26743427,0.0820526,-0.06827075,-0.54490656,0.5517856478691101,-5.654407978057861,4000,52,76.92307692307692,10.65877420042386,80,40,[0.],-3.2084875705719003,1.9880968106487966,-0.6720359086990356,-5.992503523826599,-246.80673619783826,88.10090936938454,-144.27259932756422,-404.6708469033241,-0.064467035,0.5717321,0.9922177,-0.99551594,13,-246.80673619783826,2880,36,80.0,0.0,80,80,[0.],-3.6291134816718604,1.5813796105680185,-0.25647746622562406,-4.651901125907898,-290.3290785337487,88.899750912122,-26.49780751764778,-359.8246564388275,-0.0074958717,0.17847191,0.62550676,-0.68683875,12,-290.3290785337487,5.041576312854886,0.03899463452398777,2.219445846043527,2.8714111065492034,0.07578399032354355,0.036290109157562256,240.26036540884525,250.54386740829796,748.0608835378662,2
5000,0.0070880502,0.9533992,0.0007895823,0.9402087,22.350119,21.457308,-1.9032829,456.88425,285.19745,1.5489794,-1.4864047,7.3564277,11.742839,-27.834389,-1.0138304,6.7889576,10.499397,-28.042582,-0.5486632,8.092845,19.385386,-26.971737,-2.8744178,1.2529459,0.97172207,-7.1878114,0.034222268,0.3941738,1.264169,-1.2585338,-0.4685813,0.11041712,-0.1471562,-0.7672301,0.4125039279460907,-7.855842590332031,5000,65,76.92307692307692,10.65877420042386,80,40,[0.],-3.5970963598608976,1.9607452632241258,-0.5352245330810547,-5.884067058563232,-276.6997199892998,71.12210331017928,-128.78748661279656,-370.1286655545234,0.005155803,0.5260492,0.9969398,-0.9927979,13,-276.6997199892998,3840,48,80.0,0.0,80,80,[0.],-4.5811839596120025,1.0644097908937202,-0.4486661612987518,-5.180241346359253,-366.49471676896013,41.40281313001144,-262.42172518372536,-414.3852913379669,0.038881656,0.36596167,0.79774785,-0.7725423,12,-366.49471676896013,5.094532164745033,0.03909720201045275,2.2590156588703394,2.759394966997206,0.07843594066798687,0.03563248924911022,240.5277900658548,250.79389848839492,998.862582616508,3
6000,0.0073231673,0.9554225,0.0147075225,0.90903354,17.831392,16.782072,2.5023901,330.60345,215.72722,3.2485018,-4.5789366,9.273412,10.975568,-43.78763,-5.637479,9.1489315,10.033612,-44.59794,-5.330078,10.228739,18.942902,-45.04486,-2.2566805,1.5323803,1.4480951,-8.733635,-0.09804859,0.5047368,1.4050217,-1.7180614,-0.55408955,0.13069285,-0.05332127,-0.92290175,0.31089991331100464,-9.64390754699707,6000,78,76.92307692307692,10.65877420042386,80,40,[0.],-3.785269640296698,1.936021827901677,-0.4332250118255615,-6.157005071640015,-291.17458771513054,87.8309738944149,-147.27890569567674,-418.79711029529574,-0.019324338,0.5362775,0.9995286,-0.99593556,13,-291.17458771513054,4800,60,80.0,0.0,80,80,[0.],-4.186105180475085,1.6663028457717743,-0.1528591051697731,-5.411909818649292,-334.8884144380068,104.0877562473918,-23.643250804394548,-431.2079895734787,-0.10695044,0.36124796,0.8938657,-0.92226523,12,-334.8884144380068,5.13809325825423,0.03852090798318386,2.256699301302433,2.679105597548187,0.09151870850473642,0.03522436786442995,244.56354216393083,254.80270430538803,1253.6731388131157,4
7000,0.013261848,0.9572112,0.0026961153,0.88230807,25.51178,20.783092,8.4311285,1350.9989,494.60687,5.9904466,-7.621423,10.609052,11.37015,-38.900696,-10.774453,11.252822,10.665413,-45.40965,-10.25881,11.87429,18.863337,-43.045322,-1.1518599,1.8299752,4.0089655,-6.00817,-0.017866852,0.6540661,1.85431,-2.050818,-0.6761791,0.16177145,-0.24531618,-1.1624131,0.2367366999387741,-10.302547454833984,7000,91,76.92307692307692,10.65877420042386,80,40,[0.],-3.9130540443301207,1.909996264785697,-0.554664945602417,-6.031506538391113,-301.00415725616307,77.18579996723187,-196.68665049076066,-404.7922384619713,0.020444995,0.52265644,0.9862363,-0.9855846,13,-301.00415725616307,5760,72,80.0,0.0,80,80,[0.],-4.559962427569554,1.569544818683188,-0.1907117873430252,-5.585673809051514,-364.79699420556426,111.4643863624959,-34.34971633553514,-441.46614346504214,-0.0714167,0.46044868,0.907169,-0.9322147,12,-364.79699420556426,5.128542060032487,0.038444806821644306,2.255523788742721,2.6600317833945155,0.09640604630112648,0.0307172778993845,250.61795235984027,260.82761812303215,1514.5059045543894,5
8000,0.01699564,0.95543677,0.0033382901,0.8542326,46.600403,42.39942,15.226378,671.90796,553.2345,6.1840205,-15.556679,12.160865,8.212124,-62.823315,-17.479252,12.19971,5.51282,-65.00784,-16.616106,13.591897,19.00455,-63.25894,-1.0680581,2.1475039,9.064481,-7.964159,-0.013310087,0.7037,2.5771108,-2.0358686,-0.6421761,0.18459103,-0.12992771,-1.2506526,0.1808340698480606,-12.08572769165039,8000,104,76.92307692307692,10.65877420042386,80,40,[0.],-3.9823609849214554,1.9311286913072963,-0.37548590302467344,-6.002249717712402,-306.33546037857343,106.53779282959898,-93.1287648677825,-436.82276887893676,0.07028422,0.5426726,0.99100333,-0.99855906,13,-306.33546037857343,6720,84,80.0,0.0,80,80,[0.],-5.0779843659823145,0.8290176105751975,-1.1219160318374635,-5.507331132888794,-406.2387492785851,21.635022535171785,-377.18096792697906,-440.5707577466965,0.032802574,0.520431,0.95783216,-0.9707215,12,-406.2387492785851,5.1284535601735115,0.038990103639662266,2.2838150411844254,2.6356555614620447,0.1205656249076128,0.03537088818848133,249.85605937615037,260.0989101557061,1774.611278691329,6
9000,0.022341192,0.95410854,0.0067502568,0.8244162,55.81609,54.858955,20.650455,583.40485,621.0106,3.3789325,-21.336262,13.784336,8.011639,-64.520065,-21.368408,13.329643,8.125331,-64.98418,-20.765394,15.571019,19.44794,-65.2046,0.6098345,2.245701,6.8770156,-4.851717,-0.076674335,0.8121981,2.773379,-2.259297,-0.8507797,0.20983109,-0.15504543,-1.5314397,0.14003919064998627,-10.5948486328125,9000,117,76.92307692307692,10.65877420042386,80,40,[0.],-3.860955374103785,2.0009614525566057,-0.3650077939033508,-6.053034067153931,-296.9965672387526,103.31024218479648,-144.354771620035,-457.4616144657135,-0.026417762,0.5218644,0.99888915,-0.99301344,13,-296.9965672387526,7680,96,80.0,0.0,80,80,[0.],-4.431298875831999,1.962132041769238,-0.1803574249148369,-5.795507192611694,-354.5039100665599,145.75038859449734,-24.704205274581962,-445.820342874527,0.016975662,0.5345684,0.9701881,-0.9751659,12,-354.5039100665599,5.154857707209885,0.03870204742997885,2.2893632892519236,2.6564467335119843,0.1415567146614194,0.035544474609196186,249.95811752509326,260.27458849176764,2034.8934229156002,7
10000,0.026962927,0.9556339,-0.0024095913,0.81410944,26.09261,28.483585,24.880522,1519.8855,1053.6497,3.5886273,-25.28016,14.18101,2.0131714,-92.90747,-24.598087,14.01177,5.825912,-92.46693,-23.342812,14.666833,18.939384,-90.57266,1.4423447,2.361833,8.046948,-4.2159967,-0.055805635,0.88559,2.6165438,-2.7206397,-0.95888376,0.27871868,0.026331693,-1.9375917,0.10949800163507462,-10.07971477508545,10000,130,76.92307692307692,10.65877420042386,80,40,[0.],-4.595765938353538,1.7294554750025686,-0.5014211595058441,-6.118080377578735,-353.520456796426,106.66514705833167,-84.12157616019243,-448.36976194381714,-0.04410727,0.5823365,0.99893844,-0.9988548,13,-353.520456796426,8640,108,80.0,0.0,80,80,[0.],-4.678586105604967,1.5480684431739915,-0.2751541346311569,-5.878177523612976,-374.28688844839735,110.95921721934073,-42.51734560728079,-461.6843967437744,-0.0074804304,0.51153904,0.9951858,-0.9687905,12,-374.28688844839735,5.137098920531571,0.038372159935534,2.2904663225635886,2.518462087959051,0.13912316039204597,0.03633908927440643,251.5482742348686,261.7081359755248,2296.6098993001506,8
11000,0.028059939,0.9567479,0.0037242395,0.8171036,56.839943,62.671227,30.41737,2121.095,2665.94,4.7910166,-24.902122,16.885868,13.347053,-68.124535,-30.249716,16.100101,6.2924666,-68.803276,-27.234425,18.365389,18.949816,-72.63036,3.1755881,2.7678201,12.881013,-5.2723036,-0.12170837,1.0201143,3.1508565,-3.3023427,-1.0893822,0.2998614,-0.15772574,-2.0296905,0.08712435513734818,-6.892193794250488,11000,143,76.92307692307692,10.65877420042386,80,40,[0.],-5.164496060585976,1.067882983142534,-0.5206508696079254,-6.257293462753296,-397.2689277373827,66.22893722359183,-216.0894898891449,-475.23439598083496,0.0009271037,0.60522974,0.99985176,-0.99917096,13,-397.2689277373827,9600,120,80.0,0.0,80,80,[0.],-4.357840163245176,2.012595548272007,-0.19164910763502122,-5.988182187080383,-348.6272130596141,148.2482646852954,-30.029899790883153,-466.07896654605867,0.0613098,0.5453719,0.9874641,-0.9960131,12,-348.6272130596141,5.153863513842225,0.03879411891102791,2.324371320195496,2.4292788291350007,0.1519936854019761,0.03160373121500015,250.12482708320022,260.25473228190094,2556.872665897943,9
